Sim_ID,Result,Total_Rounds,P_Alive_Count,E_Alive_Count,P_Remain_HP_Ratio,E_Remain_HP_Ratio,P_Corrosion_Deaths,E_Corrosion_Deaths,P_Tendency_Distribution,E_Tendency_Distribution,P_Dmg_Split,E_Dmg_Split,P_Heal_Done,E_Heal_Done,P_Status_Impact,E_Status_Impact,P_Skill_Counters,E_Skill_Counters
14,PlayerWin,3,4,0,90.7,0.0,0,0,Utility:7|Aggressive:12|DebuffToEnemy:5|BuffToAlly:2,Utility:4|Aggressive:9|DebuffToEnemy:5|BuffToAlly:2,Direct:221|Status:0,Direct:46|Status:0,0,0,None,None,Norm:8|Ult:1,Norm:5
15,PlayerWin,2,4,0,100.0,0.0,0,0,Utility:7|Aggressive:12|DebuffToEnemy:5|BuffToAlly:2,Utility:4|Aggressive:9|DebuffToEnemy:5|BuffToAlly:2,Direct:237|Status:0,Direct:0|Status:0,0,0,None,None,Ult:1|Norm:6,Norm:1
16,PlayerWin,2,4,0,100.0,0.0,0,0,Utility:7|Aggressive:12|DebuffToEnemy:5|BuffToAlly:2,Utility:4|Aggressive:9|DebuffToEnemy:5|BuffToAlly:2,Direct:219|Status:0,Direct:0|Status:0,0,0,None,None,Ult:1|Norm:5,Norm:1
17,PlayerWin,1,4,0,100.0,0.0,0,0,Utility:7|Aggressive:12|DebuffToEnemy:5|BuffToAlly:2,Utility:4|Aggressive:9|DebuffToEnemy:5|BuffToAlly:2,Direct:233|Status:0,Direct:0|Status:0,0,0,None,None,Ult:1|Norm:1,None
18,PlayerWin,2,4,0,100.0,0.0,0,0,Utility:7|Aggressive:12|DebuffToEnemy:5|BuffToAlly:2,Utility:4|Aggressive:9|DebuffToEnemy:5|BuffToAlly:2,Direct:227|Status:0,Direct:0|Status:0,0,0,None,None,Ult:1|Norm:5,Norm:1
19,PlayerWin,2,4,0,100.0,0.0,0,0,Utility:7|Aggressive:12|DebuffToEnemy:5|BuffToAlly:2,Utility:4|Aggressive:9|DebuffToEnemy:5|BuffToAlly:2,Direct:227|Status:0,Direct:0|Status:0,0,0,None,None,Ult:1|Norm:4,Norm:1
20,PlayerWin,2,4,0,100.0,0.0,0,0,Utility:7|Aggressive:12|DebuffToEnemy:5|BuffToAlly:2,Utility:4|Aggressive:9|DebuffToEnemy:5|BuffToAlly:2,Direct:242|Status:0,Direct:0|Status:0,0,0,None,None,Ult:1|Norm:5,Norm:2
21,PlayerWin,2,4,0,100.0,0.0,0,0,Utility:7|Aggressive:12|DebuffToEnemy:5|BuffToAlly:2,Utility:4|Aggressive:9|DebuffToEnemy:5|BuffToAlly:2,Direct:223|Status:0,Direct:0|Status:0,0,0,None,None,Ult:1|Norm:4,Norm:1
22,PlayerWin,2,4,0,100.0,0.0,0,0,Utility:7|Aggressive:12|DebuffToEnemy:5|BuffToAlly:2,Utility:4|Aggressive:9|DebuffToEnemy:5|BuffToAlly:2,Direct:238|Status:0,Direct:0|Status:0,0,0,None,None,Ult:1|Norm:4,None
23,PlayerWin,2,4,0,100.0,0.0,0,0,Utility:7|Aggressive:12|DebuffToEnemy:5|BuffToAlly:2,Utility:4|Aggressive:9|DebuffToEnemy:5|BuffToAlly:2,Direct:229|Status:0,Direct:0|Status:0,0,0,None,None,Ult:1|Norm:4,Norm:1
24,PlayerWin,3,4,0,89.9,0.0,0,0,Utility:7|Aggressive:12|DebuffToEnemy:5|BuffToAlly:2,Utility:4|Aggressive:9|DebuffToEnemy:5|BuffToAlly:2,Direct:231|Status:0,Direct:50|Status:0,0,0,None,None,Norm:9|Ult:1,Norm:4
25,PlayerWin,2,4,0,100.0,0.0,0,0,Utility:7|Aggressive:12|DebuffToEnemy:5|BuffToAlly:2,Utility:4|Aggressive:9|DebuffToEnemy:5|BuffToAlly:2,Direct:237|Status:0,Direct:0|Status:0,0,0,None,None,Ult:1|Norm:4,Norm:1
26,PlayerWin,2,4,0,100.0,0.0,0,0,Utility:7|Aggressive:12|DebuffToEnemy:5|BuffToAlly:2,Utility:4|Aggressive:9|DebuffToEnemy:5|BuffToAlly:2,Direct:234|Status:0,Direct:0|Status:0,0,0,None,None,Ult:1|Norm:5,Norm:1
27,PlayerWin,2,4,0,100.0,0.0,0,0,Utility:7|Aggressive:12|DebuffToEnemy:5|BuffToAlly:2,Utility:4|Aggressive:9|DebuffToEnemy:5|BuffToAlly:2,Direct:228|Status:0,Direct:0|Status:0,0,0,None,None,Ult:1|Norm:5,Norm:1
28,PlayerWin,2,4,0,100.0,0.0,0,0,Utility:7|Aggressive:12|DebuffToEnemy:5|BuffToAlly:2,Utility:4|Aggressive:9|DebuffToEnemy:5|BuffToAlly:2,Direct:227|Status:0,Direct:0|Status:0,0,0,None,None,Ult:1|Norm:4,Norm:1
29,PlayerWin,1,4,0,100.0,0.0,0,0,Utility:7|Aggressive:12|DebuffToEnemy:5|BuffToAlly:2,Utility:4|Aggressive:9|DebuffToEnemy:5|BuffToAlly:2,Direct:232|Status:0,Direct:0|Status:0,0,0,None,None,Ult:1|Norm:1,None
30,PlayerWin,2,4,0,100.0,0.0,0,0,Utility:7|Aggressive:12|DebuffToEnemy:5|BuffToAlly:2,Utility:4|Aggressive:9|DebuffToEnemy:5|BuffToAlly:2,Direct:232|Status:0,Direct:0|Status:0,0,0,None,None,Ult:1|Norm:4,None
31,PlayerWin,1,4,0,100.0,0.0,0,0,Utility:7|Aggressive:12|DebuffToEnemy:5|BuffToAlly:2,Utility:4|Aggressive:9|DebuffToEnemy:5|BuffToAlly:2,Direct:245|Status:0,Direct:0|Status:0,0,0,None,None,Ult:1|Norm:1,None
32,PlayerWin,1,4,0,100.0,0.0,0,0,Utility:7|Aggressive:12|DebuffToEnemy:5|BuffToAlly:2,Utility:4|Aggressive:9|DebuffToEnemy:5|BuffToAlly:2,Direct:237|Status:0,Direct:0|Status:0,0,0,None,None,Ult:1|Norm:1,None
33,PlayerWin,1,4,0,100.0,0.0,0,0,Utility:7|Aggressive:12|DebuffToEnemy:5|BuffToAlly:2,Utility:4|Aggressive:9|DebuffToEnemy:5|BuffToAlly:2,Direct:225|Status:0,Direct:0|Status:0,0,0,None,None,Ult:1|Norm:1,None
34,PlayerWin,3,4,0,90.3,0.0,0,0,Utility:7|Aggressive:12|DebuffToEnemy:5|BuffToAlly:2,Utility:4|Aggressive:9|DebuffToEnemy:5|BuffToAlly:2,Direct:230|Status:0,Direct:48|Status:0,0,0,None,None,Norm:8|Ult:1,Norm:4
35,PlayerWin,2,4,0,100.0,0.0,0,0,Utility:7|Aggressive:12|DebuffToEnemy:5|BuffToAlly:2,Utility:4|Aggressive:9|DebuffToEnemy:5|BuffToAlly:2,Direct:243|Status:0,Direct:0|Status:0,0,0,None,None,Ult:1|Norm:4,None
36,PlayerWin,3,4,0,90.1,0.0,0,0,Utility:7|Aggressive:12|DebuffToEnemy:5|BuffToAlly:2,Utility:4|Aggressive:9|DebuffToEnemy:5|BuffToAlly:2,Direct:232|Status:0,Direct:49|Status:0,0,0,None,None,Norm:8|Ult:1,Norm:4
37,PlayerWin,2,4,0,100.0,0.0,0,0,Utility:7|Aggressive:12|DebuffToEnemy:5|BuffToAlly:2,Utility:4|Aggressive:9|DebuffToEnemy:5|BuffToAlly:2,Direct:222|Status:0,Direct:0|Status:0,0,0,None,None,Ult:1|Norm:4,Norm:2
38,PlayerWin,2,4,0,100.0,0.0,0,0,Utility:7|Aggressive:12|DebuffToEnemy:5|BuffToAlly:2,Utility:4|Aggressive:9|DebuffToEnemy:5|BuffToAlly:2,Direct:241|Status:0,Direct:0|Status:0,0,0,None,None,Ult:1|Norm:4,None
39,PlayerWin,2,4,0,100.0,0.0,0,0,Utility:7|Aggressive:12|DebuffToEnemy:5|BuffToAlly:2,Utility:4|Aggressive:9|DebuffToEnemy:5|BuffToAlly:2,Direct:214|Status:0,Direct:0|Status:0,0,0,None,None,Ult:1|Norm:5,Norm:2
40,PlayerWin,2,4,0,100.0,0.0,0,0,Utility:7|Aggressive:12|DebuffToEnemy:5|BuffToAlly:2,Utility:4|Aggressive:9|DebuffToEnemy:5|BuffToAlly:2,Direct:225|Status:0,Direct:0|Status:0,0,0,None,None,Ult:1|Norm:4,Norm:1
41,PlayerWin,3,4,0,89.1,0.0,0,0,Utility:7|Aggressive:12|DebuffToEnemy:5|BuffToAlly:2,Utility:4|Aggressive:9|DebuffToEnemy:5|BuffToAlly:2,Direct:242|Status:0,Direct:54|Status:0,0,0,None,None,Norm:8|Ult:1,Norm:5
42,PlayerWin,2,4,0,99.0,0.0,0,0,Utility:7|Aggressive:12|DebuffToEnemy:5|BuffToAlly:2,Utility:4|Aggressive:9|DebuffToEnemy:5|BuffToAlly:2,Direct:226|Status:0,Direct:5|Status:0,0,0,None,None,Ult:1|Norm:4,Norm:3
43,PlayerWin,3,4,0,98.8,0.0,0,0,Utility:7|Aggressive:12|DebuffToEnemy:5|BuffToAlly:2,Utility:4|Aggressive:9|DebuffToEnemy:5|BuffToAlly:2,Direct:247|Status:0,Direct:6|Status:0,0,0,None,None,Ult:1|Norm:8,Norm:4
44,PlayerWin,2,4,0,100.0,0.0,0,0,Utility:7|Aggressive:12|DebuffToEnemy:5|BuffToAlly:2,Utility:4|Aggressive:9|DebuffToEnemy:5|BuffToAlly:2,Direct:238|Status:0,Direct:0|Status:0,0,0,None,None,Ult:1|Norm:5,Norm:2
45,PlayerWin,2,4,0,100.0,0.0,0,0,Utility:7|Aggressive:12|DebuffToEnemy:5|BuffToAlly:2,Utility:4|Aggressive:9|DebuffToEnemy:5|BuffToAlly:2,Direct:235|Status:0,Direct:0|Status:0,0,0,None,None,Ult:1|Norm:4,Norm:1
46,PlayerWin,1,4,0,100.0,0.0,0,0,Utility:7|Aggressive:12|DebuffToEnemy:5|BuffToAlly:2,Utility:4|Aggressive:9|DebuffToEnemy:5|BuffToAlly:2,Direct:228|Status:0,Direct:0|Status:0,0,0,None,None,Ult:1|Norm:1,None
47,PlayerWin,2,4,0,100.0,0.0,0,0,Utility:7|Aggressive:12|DebuffToEnemy:5|BuffToAlly:2,Utility:4|Aggressive:9|DebuffToEnemy:5|BuffToAlly:2,Direct:250|Status:0,Direct:0|Status:0,0,0,None,None,Ult:1|Norm:7,Norm:1
48,PlayerWin,3,4,0,91.9,0.0,0,0,Utility:7|Aggressive:12|DebuffToEnemy:5|BuffToAlly:2,Utility:4|Aggressive:9|DebuffToEnemy:5|BuffToAlly:2,Direct:232|Status:0,Direct:40|Status:0,0,0,None,None,Norm:8|Ult:1,Norm:4
49,PlayerWin,3,4,0,97.2,0.0,0,0,Utility:7|Aggressive:12|DebuffToEnemy:5|BuffToAlly:2,Utility:4|Aggressive:9|DebuffToEnemy:5|BuffToAlly:2,Direct:240|Status:0,Direct:14|Status:0,0,0,None,None,Ult:1|Norm:8,Norm:3
50,PlayerWin,2,4,0,100.0,0.0,0,0,Utility:7|Aggressive:12|DebuffToEnemy:5|BuffToAlly:2,Utility:4|Aggressive:9|DebuffToEnemy:5|BuffToAlly:2,Direct:240|Status:0,Direct:0|Status:0,0,0,None,None,Ult:1|Norm:4,None
51,PlayerWin,2,4,0,100.0,0.0,0,0,Utility:7|Aggressive:12|DebuffToEnemy:5|BuffToAlly:2,Utility:4|Aggressive:9|DebuffToEnemy:5|BuffToAlly:2,Direct:239|Status:0,Direct:0|Status:0,0,0,None,None,Ult:1|Norm:5,Norm:1
52,PlayerWin,3,4,0,91.5,0.0,0,0,Utility:7|Aggressive:12|DebuffToEnemy:5|BuffToAlly:2,Utility:4|Aggressive:9|DebuffToEnemy:5|BuffToAlly:2,Direct:242|Status:0,Direct:42|Status:0,0,0,None,None,Norm:8|Ult:1,Norm:4
53,PlayerWin,3,4,0,91.1,0.0,0,0,Utility:7|Aggressive:12|DebuffToEnemy:5|BuffToAlly:2,Utility:4|Aggressive:9|DebuffToEnemy:5|BuffToAlly:2,Direct:229|Status:0,Direct:44|Status:0,0,0,None,None,Norm:10|Ult:1,Norm:4
54,PlayerWin,2,4,0,100.0,0.0,0,0,Utility:7|Aggressive:12|DebuffToEnemy:5|BuffToAlly:2,Utility:4|Aggressive:9|DebuffToEnemy:5|BuffToAlly:2,Direct:227|Status:0,Direct:0|Status:0,0,0,None,None,Ult:1|Norm:4,None
55,PlayerWin,1,4,0,100.0,0.0,0,0,Utility:7|Aggressive:12|DebuffToEnemy:5|BuffToAlly:2,Utility:4|Aggressive:9|DebuffToEnemy:5|BuffToAlly:2,Direct:244|Status:0,Direct:0|Status:0,0,0,None,None,Ult:1|Norm:1,None
56,PlayerWin,3,4,0,91.5,0.0,0,0,Utility:7|Aggressive:12|DebuffToEnemy:5|BuffToAlly:2,Utility:4|Aggressive:9|DebuffToEnemy:5|BuffToAlly:2,Direct:223|Status:0,Direct:42|Status:0,0,0,None,None,Norm:9|Ult:1,Norm:4
57,PlayerWin,3,4,0,89.9,0.0,0,0,Utility:7|Aggressive:12|DebuffToEnemy:5|BuffToAlly:2,Utility:4|Aggressive:9|DebuffToEnemy:5|BuffToAlly:2,Direct:225|Status:0,Direct:50|Status:0,0,0,None,None,Norm:9|Ult:1,Norm:5
58,PlayerWin,1,4,0,100.0,0.0,0,0,Utility:7|Aggressive:12|DebuffToEnemy:5|BuffToAlly:2,Utility:4|Aggressive:9|DebuffToEnemy:5|BuffToAlly:2,Direct:235|Status:0,Direct:0|Status:0,0,0,None,None,Ult:1|Norm:1,None
59,PlayerWin,3,4,0,99.2,0.0,0,0,Utility:7|Aggressive:12|DebuffToEnemy:5|BuffToAlly:2,Utility:4|Aggressive:9|DebuffToEnemy:5|BuffToAlly:2,Direct:246|Status:0,Direct:4|Status:0,0,0,None,None,Ult:1|Norm:8,Norm:3
60,PlayerWin,1,4,0,100.0,0.0,0,0,Utility:7|Aggressive:12|DebuffToEnemy:5|BuffToAlly:2,Utility:4|Aggressive:9|DebuffToEnemy:5|BuffToAlly:2,Direct:227|Status:0,Direct:0|Status:0,0,0,None,None,Ult:1|Norm:1,None
61,PlayerWin,2,4,0,100.0,0.0,0,0,Utility:7|Aggressive:12|DebuffToEnemy:5|BuffToAlly:2,Utility:4|Aggressive:9|DebuffToEnemy:5|BuffToAlly:2,Direct:230|Status:0,Direct:0|Status:0,0,0,None,None,Ult:1|Norm:4,Norm:1
62,PlayerWin,2,4,0,100.0,0.0,0,0,Utility:7|Aggressive:12|DebuffToEnemy:5|BuffToAlly:2,Utility:4|Aggressive:9|DebuffToEnemy:5|BuffToAlly:2,Direct:241|Status:0,Direct:0|Status:0,0,0,None,None,Ult:1|Norm:4,Norm:1
63,PlayerWin,1,4,0,100.0,0.0,0,0,Utility:7|Aggressive:12|DebuffToEnemy:5|BuffToAlly:2,Utility:4|Aggressive:9|DebuffToEnemy:5|BuffToAlly:2,Direct:241|Status:0,Direct:0|Status:0,0,0,None,None,Ult:1|Norm:1,None
64,PlayerWin,2,4,0,100.0,0.0,0,0,Utility:7|Aggressive:12|DebuffToEnemy:5|BuffToAlly:2,Utility:4|Aggressive:9|DebuffToEnemy:5|BuffToAlly:2,Direct:232|Status:0,Direct:0|Status:0,0,0,None,None,Ult:1|Norm:4,None
65,PlayerWin,1,4,0,100.0,0.0,0,0,Utility:7|Aggressive:12|DebuffToEnemy:5|BuffToAlly:2,Utility:4|Aggressive:9|DebuffToEnemy:5|BuffToAlly:2,Direct:228|Status:0,Direct:0|Status:0,0,0,None,None,Ult:1|Norm:1,None
66,PlayerWin,1,4,0,100.0,0.0,0,0,Utility:7|Aggressive:12|DebuffToEnemy:5|BuffToAlly:2,Utility:4|Aggressive:9|DebuffToEnemy:5|BuffToAlly:2,Direct:233|Status:0,Direct:0|Status:0,0,0,None,None,Ult:1|Norm:1,None
67,PlayerWin,2,4,0,100.0,0.0,0,0,Utility:7|Aggressive:12|DebuffToEnemy:5|BuffToAlly:2,Utility:4|Aggressive:9|DebuffToEnemy:5|BuffToAlly:2,Direct:237|Status:0,Direct:0|Status:0,0,0,None,None,Ult:1|Norm:4,None
68,PlayerWin,1,4,0,100.0,0.0,0,0,Utility:7|Aggressive:12|DebuffToEnemy:5|BuffToAlly:2,Utility:4|Aggressive:9|DebuffToEnemy:5|BuffToAlly:2,Direct:239|Status:0,Direct:0|Status:0,0,0,None,None,Ult:1|Norm:1,None
69,PlayerWin,2,4,0,100.0,0.0,0,0,Utility:7|Aggressive:12|DebuffToEnemy:5|BuffToAlly:2,Utility:4|Aggressive:9|DebuffToEnemy:5|BuffToAlly:2,Direct:222|Status:0,Direct:0|Status:0,0,0,None,None,Ult:1|Norm:4,Norm:1
70,PlayerWin,2,4,0,100.0,0.0,0,0,Utility:7|Aggressive:12|DebuffToEnemy:5|BuffToAlly:2,Utility:4|Aggressive:9|DebuffToEnemy:5|BuffToAlly:2,Direct:245|Status:0,Direct:0|Status:0,0,0,None,None,Ult:1|Norm:4,Norm:1
71,PlayerWin,1,4,0,100.0,0.0,0,0,Utility:7|Aggressive:12|DebuffToEnemy:5|BuffToAlly:2,Utility:4|Aggressive:9|DebuffToEnemy:5|BuffToAlly:2,Direct:236|Status:0,Direct:0|Status:0,0,0,None,None,Ult:1|Norm:1,None
72,PlayerWin,2,4,0,100.0,0.0,0,0,Utility:7|Aggressive:12|DebuffToEnemy:5|BuffToAlly:2,Utility:4|Aggressive:9|DebuffToEnemy:5|BuffToAlly:2,Direct:222|Status:0,Direct:0|Status:0,0,0,None,None,Ult:1|Norm:4,Norm:1
73,PlayerWin,1,4,0,100.0,0.0,0,0,Utility:7|Aggressive:12|DebuffToEnemy:5|BuffToAlly:2,Utility:4|Aggressive:9|DebuffToEnemy:5|BuffToAlly:2,Direct:225|Status:0,Direct:0|Status:0,0,0,None,None,Ult:1|Norm:1,None
74,PlayerWin,1,4,0,100.0,0.0,0,0,Utility:7|Aggressive:12|DebuffToEnemy:5|BuffToAlly:2,Utility:4|Aggressive:9|DebuffToEnemy:5|BuffToAlly:2,Direct:235|Status:0,Direct:0|Status:0,0,0,None,None,Ult:1|Norm:1,None
75,PlayerWin,3,4,0,89.1,0.0,0,0,Utility:7|Aggressive:12|DebuffToEnemy:5|BuffToAlly:2,Utility:4|Aggressive:9|DebuffToEnemy:5|BuffToAlly:2,Direct:229|Status:0,Direct:54|Status:0,0,0,None,None,Norm:8|Ult:1,Norm:4
76,PlayerWin,1,4,0,100.0,0.0,0,0,Utility:7|Aggressive:12|DebuffToEnemy:5|BuffToAlly:2,Utility:4|Aggressive:9|DebuffToEnemy:5|BuffToAlly:2,Direct:231|Status:0,Direct:0|Status:0,0,0,None,None,Ult:1|Norm:1,None
77,PlayerWin,3,4,0,89.1,0.0,0,0,Utility:7|Aggressive:12|DebuffToEnemy:5|BuffToAlly:2,Utility:4|Aggressive:9|DebuffToEnemy:5|BuffToAlly:2,Direct:278|Status:0,Direct:54|Status:0,0,0,None,None,Norm:9|Ult:1,Norm:4
78,PlayerWin,2,4,0,100.0,0.0,0,0,Utility:7|Aggressive:12|DebuffToEnemy:5|BuffToAlly:2,Utility:4|Aggressive:9|DebuffToEnemy:5|BuffToAlly:2,Direct:220|Status:0,Direct:0|Status:0,0,0,None,None,Ult:1|Norm:5,Norm:2
79,PlayerWin,3,4,0,91.5,0.0,0,0,Utility:7|Aggressive:12|DebuffToEnemy:5|BuffToAlly:2,Utility:4|Aggressive:9|DebuffToEnemy:5|BuffToAlly:2,Direct:233|Status:0,Direct:42|Status:0,0,0,None,None,Norm:8|Ult:1,Norm:4
80,PlayerWin,2,4,0,100.0,0.0,0,0,Utility:7|Aggressive:12|DebuffToEnemy:5|BuffToAlly:2,Utility:4|Aggressive:9|DebuffToEnemy:5|BuffToAlly:2,Direct:232|Status:0,Direct:0|Status:0,0,0,None,None,Ult:1|Norm:4,Norm:1
81,PlayerWin,2,4,0,100.0,0.0,0,0,Utility:7|Aggressive:12|DebuffToEnemy:5|BuffToAlly:2,Utility:4|Aggressive:9|DebuffToEnemy:5|BuffToAlly:2,Direct:229|Status:0,Direct:0|Status:0,0,0,None,None,Ult:1|Norm:4,Norm:1
82,PlayerWin,3,4,0,89.1,0.0,0,0,Utility:7|Aggressive:12|DebuffToEnemy:5|BuffToAlly:2,Utility:4|Aggressive:9|DebuffToEnemy:5|BuffToAlly:2,Direct:238|Status:0,Direct:54|Status:0,0,0,None,None,Norm:8|Ult:1,Norm:4
83,PlayerWin,2,4,0,100.0,0.0,0,0,Utility:7|Aggressive:12|DebuffToEnemy:5|BuffToAlly:2,Utility:4|Aggressive:9|DebuffToEnemy:5|BuffToAlly:2,Direct:230|Status:0,Direct:0|Status:0,0,0,None,None,Ult:1|Norm:4,Norm:1
84,PlayerWin,3,4,0,98.8,0.0,0,0,Utility:7|Aggressive:12|DebuffToEnemy:5|BuffToAlly:2,Utility:4|Aggressive:9|DebuffToEnemy:5|BuffToAlly:2,Direct:256|Status:0,Direct:6|Status:0,0,0,None,None,Ult:1|Norm:8,Norm:3
85,PlayerWin,3,4,0,91.7,0.0,0,0,Utility:7|Aggressive:12|DebuffToEnemy:5|BuffToAlly:2,Utility:4|Aggressive:9|DebuffToEnemy:5|BuffToAlly:2,Direct:252|Status:0,Direct:41|Status:0,0,0,None,None,Norm:8|Ult:1,Norm:4
86,PlayerWin,2,4,0,100.0,0.0,0,0,Utility:7|Aggressive:12|DebuffToEnemy:5|BuffToAlly:2,Utility:4|Aggressive:9|DebuffToEnemy:5|BuffToAlly:2,Direct:237|Status:0,Direct:0|Status:0,0,0,None,None,Ult:1|Norm:4,Norm:1
87,PlayerWin,1,4,0,100.0,0.0,0,0,Utility:7|Aggressive:12|DebuffToEnemy:5|BuffToAlly:2,Utility:4|Aggressive:9|DebuffToEnemy:5|BuffToAlly:2,Direct:229|Status:0,Direct:0|Status:0,0,0,None,None,Ult:1|Norm:1,None
88,PlayerWin,1,4,0,100.0,0.0,0,0,Utility:7|Aggressive:12|DebuffToEnemy:5|BuffToAlly:2,Utility:4|Aggressive:9|DebuffToEnemy:5|BuffToAlly:2,Direct:233|Status:0,Direct:0|Status:0,0,0,None,None,Ult:1|Norm:2,None
89,PlayerWin,2,4,0,100.0,0.0,0,0,Utility:7|Aggressive:12|DebuffToEnemy:5|BuffToAlly:2,Utility:4|Aggressive:9|DebuffToEnemy:5|BuffToAlly:2,Direct:231|Status:0,Direct:0|Status:0,0,0,None,None,Ult:1|Norm:4,Norm:1
90,PlayerWin,2,4,0,99.0,0.0,0,0,Utility:7|Aggressive:12|DebuffToEnemy:5|BuffToAlly:2,Utility:4|Aggressive:9|DebuffToEnemy:5|BuffToAlly:2,Direct:234|Status:0,Direct:5|Status:0,0,0,None,None,Ult:1|Norm:4,Norm:2
91,PlayerWin,2,4,0,100.0,0.0,0,0,Utility:7|Aggressive:12|DebuffToEnemy:5|BuffToAlly:2,Utility:4|Aggressive:9|DebuffToEnemy:5|BuffToAlly:2,Direct:235|Status:0,Direct:0|Status:0,0,0,None,None,Ult:1|Norm:4,Norm:2
92,PlayerWin,3,4,0,97.0,0.0,0,0,Utility:7|Aggressive:12|DebuffToEnemy:5|BuffToAlly:2,Utility:4|Aggressive:9|DebuffToEnemy:5|BuffToAlly:2,Direct:249|Status:0,Direct:15|Status:0,0,0,None,None,Ult:1|Norm:8,Norm:4
93,PlayerWin,1,4,0,100.0,0.0,0,0,Utility:7|Aggressive:12|DebuffToEnemy:5|BuffToAlly:2,Utility:4|Aggressive:9|DebuffToEnemy:5|BuffToAlly:2,Direct:229|Status:0,Direct:0|Status:0,0,0,None,None,Ult:1|Norm:1,None
